,oid,classALeRCE,ra,dec,source,id_source
6805,ZTF18abwwdsc,CEP,326.75584475,-8.060672689583333,CRTSnorth,1007116010622.0
6806,ZTF18aaakigd,CEP,65.44001621960786,34.069808532026165,CRTSnorth,1135020009815.0
6807,ZTF18abwwdxw,CEP,324.86597264892464,-17.29614489211469,CRTSnorth,1018112055304.0
6808,ZTF19aaocniv,CEP,248.5806192000001,-16.015738972222227,CRTSnorth,1015086048064.0
6809,ZTF17aacemqz,CEP,117.97767121827953,27.56136285071685,CRTSnorth,1126038065052.0
6810,ZTF18aaiyfjx,CEP,245.46436977500016,38.90958954999999,CRTSnorth,1138071060852.0
6811,ZTF19aaczymt,CEP,228.81075611166665,-14.90123069722222,CRTSnorth,1015079060794.0
6812,ZTF18abvpirg,CEP,351.95529976602563,-9.388094469017089,CRTSnorth,1009125035570.0
6813,ZTF18abccnft,CEP,330.03798156595747,9.169602520981083,CRTSnorth,1109117020606.0
6814,ZTF18aazzfhx,CEP,257.62971679966,22.38566592936505,CRTSnorth,1121087098549.0
6815,ZTF18abvtdoa,CEP,70.66056798333334,-6.803840028125002,CRTSnorth,1007025037059.0
6816,ZTF18absvbuc,CEP,312.3917931512822,6.591703522649571,CRTSnorth,1107111042642.0
6817,ZTF18abmxafi,CEP,254.7607279151513,4.791575149494947,CRTSnorth,1104091091235.0
6818,ZTF18abhqdkc,CEP,340.74188774705897,20.9884813372549,CRTSnorth,1121115034187.0
6819,ZTF18acrmlma,CEP,154.06307817208338,2.5414177956944446,CRTSnorth,1101055057397.0
6820,ZTF18abetcxj,CEP,253.1718662320755,20.540137779350093,CRTSnorth,1121086028361.0
6821,ZTF18aagwwiq,CEP,261.5533298879056,34.65406644051131,CRTSnorth,1135078029796.0
6822,ZTF17aadfivr,CEP,79.3399339288618,15.578883419105685,CRTSnorth,1115028059992.0
6823,ZTF18abnnbys,CEP,350.9905014712854,17.757072766733593,CRTSnorth,1118120020026.0
6824,ZTF17aaadqhs,CEP,350.6378680418438,-2.394392995390072,CRTSnorth,1001125007991.0
6825,ZTF18abtjmni,CEP,311.6565488038253,-0.9805411032786884,CRTSnorth,1001111081332.0
6826,ZTF18aagrcvb,CEP,235.28149220454551,35.55455886467801,CRTSnorth,1135070043462.0
6827,ZTF17aabpwzy,CEP,348.8606400446972,-1.3746664260101022,CRTSnorth,1001125027932.0
6828,ZTF17aacoobq,CEP,58.73768892755905,1.72396802519685,CRTSnorth,1101021033346.0
6829,ZTF18abtpdzf,CEP,354.97565122825216,-9.083879952845528,CRTSnorth,1009126042551.0
6830,ZTF18abomkrt,CEP,25.3485376983051,-16.38496676534841,CRTSnorth,1015009009068.0
6831,ZTF18abvfaju,CEP,11.967079250744035,26.817117977033742,CRTSnorth,1126004036319.0
6832,ZTF18accfbxq,CEP,312.16939672619066,-18.55419435119048,CRTSnorth,1018107042007.0
6833,ZTF18abwerjv,CEP,337.0807666011113,-13.661801090000012,CRTSnorth,1012118009936.0
6834,ZTF18abxeian,CEP,342.54672157074816,-15.323052446031737,CRTSnorth,1015118031758.0
6835,ZTF18aaadqzu,CEP,39.09233049708335,17.658534710694425,CRTSnorth,1118014014408.0
6836,ZTF17aaawdie,CEP,41.27410665732325,35.110022868181844,CRTSnorth,1135013039511.0
6837,ZTF18acrulfg,CEP,88.94129305731705,-8.379992225880757,CRTSnorth,1007032004259.0
6838,ZTF18abvpmxu,CEP,351.82898308923103,-12.647453938717936,CRTSnorth,1012124028022.0
6839,ZTF18aaaatsz,CEP,61.4750119881188,35.809546270792104,CRTSnorth,1135019084318.0
6840,ZTF18acszysu,CEP,92.14044961875,-6.497246796875,CRTSnorth,1007033073591.0
6841,ZTF18abgcnrf,CEP,252.334739064706,18.852839407189528,CRTSnorth,1118087066631.0
6842,ZTF18abmouca,CEP,258.2077456303573,-0.3870554948412699,CRTSnorth,1001092117452.0
6843,ZTF18abnjutc,CEP,257.59186923739816,-4.06003627682927,CRTSnorth,1004092077692.0
6844,ZTF18acapcrd,CEP,110.46503868333347,25.98874125,CRTSnorth,1126036019976.0
6845,ZTF19aaafqwi,CEP,232.70015129139784,-16.323070873655936,CRTSnorth,1015081020819.0
6846,ZTF17aaadpqo,CEP,328.07093029583353,3.2423320062499994,CRTSnorth,1104117012321.0
6847,ZTF17aaakjph,CEP,343.4387384127453,-2.8155839016339885,CRTSnorth,1001123000687.0
6848,ZTF18abynvbg,CEP,46.827207079967934,31.04615894962607,CRTSnorth,1132015000747.0
6849,ZTF19aajwdvy,CEP,171.89244715641038,-13.378314819658137,CRTSnorth,1012061016032.0
6850,ZTF17aabureo,CEP,34.096628555992524,4.808793708426965,CRTSnorth,1104013039791.0
6851,ZTF18abwklby,CEP,56.02919450202019,38.18111047323231,CRTSnorth,1138017057104.0
6852,ZTF17aabulcr,CEP,58.7376604576923,1.72395756153846,CRTSnorth,1101021033346.0
6853,ZTF17aaawivn,CEP,35.66427817933335,-1.418108589555554,CRTSnorth,1001013030359.0
6854,ZTF18acuehfu,CEP,217.17305329469696,3.2950383851010088,CRTSnorth,1104078011960.0
6855,ZTF18aabgaft,CEP,65.44003799789475,34.069837720292405,CRTSnorth,1135020009815.0
6856,ZTF18actzktj,CEP,54.94932697261903,15.484974190476198,CRTSnorth,1115019027998.0
6857,ZTF18actyzzw,CEP,55.94963854444441,32.299049672222225,CRTSnorth,1132018036018.0
6858,ZTF17aacmgja,CEP,51.85413419968553,2.9285376327044017,CRTSnorth,1104019002269.0
6859,ZTF17aabwdld,CEP,92.34818153951616,-6.8634921036738366,CRTSnorth,1007033061032.0
6860,ZTF17aabwlzi,CEP,171.39668890747134,-4.31590232145594,CRTSnorth,1004061024897.0
6861,ZTF17aabxitd,CEP,183.5563450375643,6.021485178162393,CRTSnorth,1107065007499.0
6862,ZTF18aaacbyg,CEP,136.14990426058802,6.983727279934641,CRTSnorth,1107049032121.0
6863,ZTF18abtyrjc,CEP,359.27060084696984,26.564136258585872,CRTSnorth,1126116030717.0
6864,ZTF17aabumnd,CEP,347.5091828182541,24.041354385317444,CRTSnorth,1123114038891.0
6865,ZTF18accnhrb,CEP,151.16206794060582,43.62505517373735,CRTSnorth,1143040024197.0
6866,ZTF17aaaesrm,CEP,5.685740295081969,33.825803564389794,CRTSnorth,1132002072568.0
6867,ZTF18aaadrsn,CEP,51.01794353333332,21.229108691319453,CRTSnorth,1121018033468.0
6868,ZTF17aaagbjq,CEP,44.54333274364264,-6.197281354066438,CRTSnorth,1007016041988.0
6869,ZTF17aabdglt,CEP,75.37172606522991,15.023945078256723,CRTSnorth,1115026031551.0
6870,ZTF18aaaahjh,CEP,76.32317350299759,23.937240228497178,CRTSnorth,1123026058431.0
6871,ZTF18acmgjtm,CEP,58.24863391845236,9.288062730456348,CRTSnorth,1109021017250.0
6872,ZTF17aacwfbp,CEP,74.44623717976188,23.507207442857148,CRTSnorth,1123025070785.0
6873,ZTF17aabvsjt,CEP,83.07382136789212,-7.662810247712419,CRTSnorth,1007030021427.0
6874,ZTF18abmxaez,CEP,254.31894243904785,3.1991048915873,CRTSnorth,1104091018623.0
6875,ZTF18acynsni,CEP,3.176965644,25.475449522222213,CRTSnorth,1126002002637.0
6876,ZTF17aadfpgl,CEP,80.06138658063729,15.827614540767994,CRTSnorth,1115028070313.0
6877,ZTF18aaadyou,CEP,76.3093700574359,21.763543384273486,CRTSnorth,1121026082606.0
6878,ZTF18adaljuj,CEP,232.430430521212,-13.181096666161606,CRTSnorth,1012082030323.0
6879,ZTF18abciled,CEP,238.7956541993053,-8.525171550694445,CRTSnorth,1009085096103.0
6880,ZTF17aaauijj,CEP,44.54332776415526,-6.197317427092848,CRTSnorth,1007016041988.0
6881,ZTF17aaaduqv,CEP,7.2306613674666655,43.03353050666666,CRTSnorth,1143002023753.0
6882,ZTF17aabvfic,CEP,27.39978380719425,14.192284522821756,CRTSnorth,1115010001977.0
6883,ZTF17aackvtt,CEP,35.66426184358975,-1.4180631388888894,CRTSnorth,1001013030359.0
